"abap_program_id","related_abap_program_id","relation_type"
"27153a39-441f-4bc3-afde-2d6b55cf7b40","a8dc0e90-13d7-4a4e-b9fe-c467133b3e01","Includes"
"SAPLMGMM_SCREEN_5040","8ae6d4e8-3bcd-4bf3-b830-d56aaad85fc2","MODULE"
"d93f2307-df80-4693-8f2d-b8f0ee9f0991","181c070c-6e2f-4640-8d02-47fa1d5fae23","Database Tables"
"e7c7f2f8-e698-42e3-be31-56df0dafbf1f","09f1c65b-52a6-4963-8985-42784ed25d35","Includes"
"SAPLMGMM_SCREEN_4020","3aa5fad8-d8df-4e7e-b513-2da25297ba91","MODULE"
"f5a95a7c-6f19-4d9f-8b5e-8dcbbc915f7f","32da0f01-ceca-40fa-9bbd-f0f51797fe2c","Function Calls"
"2a6af15d-0c30-4840-b148-3932f3b790a1","1064a6ec-c8cc-408b-b17c-a56f5d1617e8","Database Tables"
"SAPLMGMM_SCREEN_0081","06fd1ab7-b3a3-4747-bd9b-95042bf5dadc","MODULE"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","1cffdca3-ebb1-41c6-ab6d-a92b8e75347b","Includes"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","c9f6c880-b118-4e5a-91d2-8a5c5eda5c2d","Includes"
"SAPLMGMM_SCREEN_0080","9a9c8d52-749b-4d4d-9efe-72509de57f03","MODULE"
"67b51367-5a9b-45a9-9db2-8b5d28858e31","7e37bd24-df82-4a7b-81e4-862c160d89db","Database Tables"
"SAPLMGMM_SCREEN_0080","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"217f9686-07cf-41aa-b34b-ca7181373319","c0145835-c1af-4593-a724-829e29e33948","Function Calls"
"e7d2f3f2-20dc-4524-86d3-015c424aac5c","6722cad6-90d3-4863-b34f-c5f55f452023","Database Tables"
"ee321bd9-5685-468f-a486-ca5b501e51ac","7e37bd24-df82-4a7b-81e4-862c160d89db","Database Tables"
"SAPLMGMM_SCREEN_3020","ac299fe0-3bc7-4941-adb0-d2dd9b4c1ef4","MODULE"
"429c4dcf-bb04-4454-be3c-d8c10563f7dd","9638f791-5f27-4904-a5e8-e13d54d37310","Function Calls"
"52f063a3-1665-4fcf-866c-e511f96c6154","38862e8f-d2db-460c-9bf6-0cae6cbf8098","Function Calls"
"d5b24993-20fa-4b28-a002-bf58cd75ba11","7e41a53e-bec7-4ec9-b146-f38616fabd94","Includes"
"SAPLMGMM_SCREEN_0080","7d3272bf-46c6-4b8a-8b51-13d85ba5c81e","MODULE"
"13233999-20f0-4fc9-9a5f-32143f01baca","10c869b7-5419-44fd-9f83-8f837ac72a14","Function Calls"
"1893744e-03e2-4b39-9a02-305263505a05","07e84369-45ed-436b-9e17-47d7e738ee79","Function Calls"
"287dd822-3f8e-4572-ba1b-cd62d3d9600e","963214c8-25e9-48d3-9857-9ed00a294ec3","Includes"
"9b2e05b2-805f-4d07-a7b3-12946a5f92d7","f9185cc5-4a2e-4174-b918-2007a58fd35f","Function Calls"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","6624b605-7e15-4487-a9bb-be962f4178af","Includes"
"b997847a-1ed3-48e8-8d30-750611fdd237","cece66f5-bbfe-4337-9333-c3c1f4f33ed5","Database Tables"
"c4322c4e-a087-4dc8-b08e-59f76cf4ed6b","a8dc0e90-13d7-4a4e-b9fe-c467133b3e01","Includes"
"5764394f-04f1-4eee-bdf7-94aca9739329","2132a313-ce1e-4a24-9ded-24c235059207","Function Calls"
"285e516c-017e-40d5-a1b9-0e383209ba39","152da97c-2bc0-401f-b452-5441c7ccdc26","Database Tables"
"c45cccf9-69c2-4b09-93c9-18fe2fe1e5be","2e4d5af7-5570-49e6-a8e3-95e21d7fecdb","Function Calls"
"328c7882-1adb-4a32-bd08-50f37138fc35","2d4dbb46-8aec-47e1-8511-fca6f1b80ac8","Includes"
"211238dc-11fd-478e-96df-5928be1c1144","6721d3c0-cc2a-4b5a-99e5-8865163c0fd3","Includes"
"d3d6bfd1-6558-492f-b889-02eaabf149b6","e4e23a31-83b4-4779-97d9-265f3b41e09c","Includes"
"56080869-2c72-4b88-a414-263b4786ec0e","ba2eea84-dfa7-4f8f-bd13-7d6a08bb5087","Function Calls"
"aa79ad70-534a-4cb7-a4f5-f3500008d030","0bbdd689-b031-4a67-a1b3-f9bff7a4b634","Database Tables"
"287dd822-3f8e-4572-ba1b-cd62d3d9600e","384b0728-a31d-44c8-8ec7-71b68d70f3a1","Includes"
"SAPLMGMM_SCREEN_3020","9304fa03-a87a-4102-9766-10bf383d7d18","MODULE"
"c49efc62-4cc4-4cdb-901a-7c72aa114919","f2dc6206-187e-4c9b-b32e-0fa37a53495e","Includes"
